placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.com/maps/place/Clemmons+and+Son's+Hog+Farm/data=!4m5!3m4!1s0x89aa0e5ec7c1a3ed:0xfb6758aaacf41ed4!8m2!3d34.063615!4d-78.2103236,Clemmons and Son's Hog Farm,5,1,Farm,,"1935 Galloway Rd NE, Bolivia, NC 28422","3Q7Q+CV Bolivia, North Carolina",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4YdwxBi0f_DkzBhDsdZv8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.34235&pitch=0&thumbfov=100,FALSE,34.0635625,-78.2103125,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:01.586Z,
https://www.google.com/maps/place/Kilpatrick+Hog+Farm/data=!4m5!3m4!1s0x89a963c895733971:0xe193ff7be063fa84!8m2!3d34.8718842!4d-77.8888668,Kilpatrick Hog Farm,,,Farm,,"1648 NC-50, Rose Hill, NC 28458","V4C6+QF Rose Hill, North Carolina",,(910) 296-6002,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qFNpg5JpRpgPvSeq3GIPdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.388733&pitch=0&thumbfov=100,FALSE,34.8719375,-77.8888125,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:05.468Z,
https://www.google.com/maps/place/Hilltop+Hog+Farm/data=!4m5!3m4!1s0x8852dba446ebdd6b:0xd4776e76b25666ea!8m2!3d36.2798184!4d-79.6202739,Hilltop Hog Farm,,,Farm,,"225 Cotton Rd, Reidsville, NC 27320","79HH+WV Reidsville, North Carolina",,(336) 342-1124,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cZVvJVNcO0t3OeXoJ-TIZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.015596&pitch=0&thumbfov=100,FALSE,36.2798125,-79.6203125,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:09.965Z,
"https://www.google.com/maps/place/Little+Creek+Hog+Farms+Inc/@35.4728452,-77.5011088,17z/data=!3m1!4b1!4m5!3m4!1s0x89aec65b46dca059:0x70864b3b5053aad8!8m2!3d35.472944!4d-77.498691",Little Creek Hog Farms Inc,2.7,3,Farm,,"782 Lower Field Rd, Ayden, NC 28513","FGF2+4C Ayden, North Carolina",,(252) 746-9182,,,FALSE,35.4728125,-77.4989375,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:15.551Z,
https://www.google.com/maps/place/H+%26+a+Hog+Farm/data=!4m5!3m4!1s0x89af7ab06fae87f7:0x309d3114f09edc6a!8m2!3d35.6618647!4d-76.6095223,H & a Hog Farm,,,Farm,,"6650 NC-99, Pantego, NC 27860","M96R+P5 Pantego, North Carolina",,(252) 935-5031,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xzYDHoWoihXOIaGxSF7zCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=43.875652&pitch=0&thumbfov=100,FALSE,35.6618125,-76.6095625,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:22.065Z,
https://www.google.com/maps/place/Kenan+Hog+Farm+Inc/data=!4m5!3m4!1s0x89abdb6f4a673625:0x25a5e55b5232b6a4!8m2!3d34.8780659!4d-78.082106,Kenan Hog Farm Inc,,,Farm,,"2324 NC-903, Magnolia, NC 28453","VWH9+65 Magnolia, North Carolina",,(910) 289-2144,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qWg6mdwnQLuCpbIpKow1cA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=51.480618&pitch=0&thumbfov=100,FALSE,34.8780625,-78.0820625,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:25.877Z,
https://www.google.com/maps/place/Goldsboro+Hog+Farm/data=!4m5!3m4!1s0x89aea7c0794766af:0x5361c60df10a6d64!8m2!3d35.5016814!4d-77.8985286,Goldsboro Hog Farm,1,1,Farm,,"2230 Antioch Rd, North Carolina 27863","G422+MH Edmundson Crossroads, North Carolina",,(919) 736-3562,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZcY504lSZOK9nRRS2JMn0w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.570427&pitch=0&thumbfov=100,FALSE,35.5016875,-77.8985625,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:29.583Z,
https://www.google.com/maps/place/Goldsboro+Hog+Farms/data=!4m5!3m4!1s0x89a943b0e11b705f:0x97a5d5e26d75e73a!8m2!3d34.988814!4d-77.68388,Goldsboro Hog Farms,,,Farm,,"9572 NC-41, Pink Hill, NC 28572",,,(910) 324-3467,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vzsK4vTAMmYeQOzqx20QAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=349.24255&pitch=0&thumbfov=100,FALSE,,,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:32.321Z,
"https://www.google.com/maps/place/Goldsboro+Hog+Farms+Inc/@35.300939,-77.9431764,17z/data=!3m1!4b1!4m5!3m4!1s0x89abfff6f33ca269:0x916eb30e63eb6836!8m2!3d35.300939!4d-77.9409877",Goldsboro Hog Farms Inc,4,1,Farm,,"151 Best Sand and Gravel Rd, Goldsboro, NC 27534","8325+9J Goldsboro, North Carolina",,(919) 751-0710,,,FALSE,35.3009375,-77.9409375,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:38.064Z,
https://www.google.com/maps/place/Kinlaw+Kenneth+Hog+Farm/data=!4m5!3m4!1s0x89aaf8e69a10fce5:0x83dbcbffcc06e254!8m2!3d34.573646!4d-78.6947673,Kinlaw Kenneth Hog Farm,,,Farm,,"7365 NC-242, Bladenboro, NC 28320","H8F4+F3 Bladenboro, North Carolina",,(910) 648-6103,,https://lh5.googleusercontent.com/p/AF1QipO-oPC3_u8ST4_7OlIV_jK-46LDed54xjDzAx3N=w408-h725-k-no,FALSE,34.5736875,-78.6948125,"https://www.google.com/maps/search/locations+of+hog+farms+in+north+carolina/@35.2342247,-80.3584182,7z/data=!3m1!4b1",2022-04-10T22:20:42.428Z,
